theta,v,tm,t
160.38,10.0,80572.0,397
160.38,10.0,80572.0,398
160.38,10.0,80572.0,399
160.38,10.0,80572.0,400
160.38,10.0,80572.0,401
160.38,10.0,80572.0,402
160.38,10.0,80572.0,403
160.38,10.0,80572.0,404
160.38,10.0,80572.0,405
160.38,10.0,80572.0,406
160.38,10.0,80572.0,407
160.38,10.0,80572.0,408
160.38,10.0,80572.0,409
