theta,v,t
356.38,0.86,75.55
287.69,0.85,75.96
215.25,1.04,76.37
128.5,1.04,76.79
42.44,-7.99,77.2
310.0,1.16,77.61
215.0,1.17,78.03
119.63,1.16,78.44
24.5,1.21,78.86
290.56,1.12,79.27
200.44,1.14,79.69
108.19,1.08,80.1
24.31,0.95,80.52
311.38,0.76,80.93
49.81,0.41,81.34
18.44,0.34,81.76
350.06,0.46,82.17
315.06,0.57,82.59
256.0,1.11,83.0
151.75,1.57,83.42
20.56,1.7,83.83
243.69,1.77,84.24
91.88,2.03,84.66
287.13,2.0,85.07
117.63,2.28,85.49
297.44,2.24,85.9
107.25,2.5,86.32
262.0,2.48,86.73
61.88,2.44,87.14
233.31,2.21,87.56
66.88,1.72,87.97
293.94,1.49,88.39
175.38,1.33,88.81
69.5,1.15,89.22
338.0,0.94,89.63
261.38,1.06,90.05
172.13,1.18,90.46
81.31,1.05,90.88
354.69,1.04,91.29
275.88,0.8,91.7
213.69,0.62,92.12
166.0,0.56,92.53
115.94,0.71,92.95
56.0,0.74,93.36
356.88,0.84,93.78
283.69,0.97,94.19
202.88,1.07,94.61
113.31,1.33,95.02
3.88,1.46,95.43
242.19,1.51,95.85
115.25,1.73,96.26
326.44,2.22,96.68
137.75,2.43,97.09
292.38,2.69,97.5
78.19,2.54,97.92
228.75,2.37,98.33
42.5,2.21,98.75
226.56,2.01,99.16
66.13,1.83,99.58
282.44,1.62,99.99
157.75,1.28,100.4
55.69,1.22,100.82
312.81,1.21,101.2
217.31,1.06,101.6
135.63,0.92,102.0
59.88,0.79,102.48
2.88,0.42,102.89
335.19,-0.16,103.0
358.19,-0.5,103.0
45.0,-0.83,104.1
116.13,-1.07,104.0
206.13,-1.17,104.0
302.75,-1.11,105.0
29.44,-0.98,105.7
107.75,-0.92,106.0
185.44,-1.02,106.0
271.38,-1.12,107.0
3.06,-1.03,107.45
82.0,-0.97,107.8
161.81,-0.9,108.0
233.13,-0.94,108.0
311.06,-0.99,109.0
34.31,-1.02,109.5
116.88,-0.96,109.0
196.25,-0.95,110.0
274.13,-1.04,110.0
359.25,-1.05,111.0
86.06,-1.08,111.6
176.31,-1.11,112.0
267.63,-1.14,112.0
2.69,-1.2,112.84
102.31,-1.18,113.0
197.38,-1.27,113.0
302.63,-1.32,114.0
43.63,-1.09,114.5
129.13,-0.99,114.0
210.19,-0.93,115.0
283.0,-0.81,115.0
345.81,-0.62,116.0
30.19,-0.34,116.5
49.38,0.15,116.99
33.5,0.25,117.41
12.81,0.28,117.82
348.25,0.3,118.2
331.06,-0.05,118.0
339.56,-0.24,119.0
1.56,-0.37,119.48
38.5,-0.68,119.8
97.63,-0.84,120.3
168.31,-0.96,120.0
248.88,-1.15,121.0
347.75,-1.43,121.0
110.88,-1.64,121.0
244.94,-1.67,122.0
19.88,-1.71,122.7
150.56,-1.35,123.0
255.13,-1.16,123.0
348.0,-1.03,124.0
68.31,-0.86,124.4
133.81,-0.71,124.0
188.13,-0.6,125.0
236.5,-0.59,125.0
284.06,-0.59,126.0
331.0,-0.6,126.0
21.69,-0.72,126.9
84.25,-0.83,127.3
152.44,-0.86,127.0
223.5,-0.88,128.0
297.38,-0.95,128.0
15.5,-0.99,129.0
98.19,-1.02,129.4
181.5,-1.03,129.0
264.06,-1.03,130.0
344.69,-0.96,130.0
61.63,-0.97,131.0
137.56,-0.87,131.0
206.38,-0.79,131.0
271.44,-0.78,132.0
334.69,-0.74,132.0
32.56,-0.67,133.1
84.25,-0.45,133.5
115.88,-0.23,133.0
131.19,-0.08,134.0
134.5,0.04,134.8
133.13,-0.04,135.0
134.81,0.09,135.6
124.81,0.2,136.0
108.94,0.28,136.4
85.63,0.08,136.88
82.44,0.03,137.29
81.69,-0.01,137.7
82.25,0.0,138.12
82.19,0.0,138.53
82.0,0.0,138.95
82.19,0.0,139.37
82.13,0.02,139.78
81.69,-0.01,140.1
80.94,0.05,140.61
78.06,0.02,141.02
75.5,0.02,141.44
73.81,0.01,141.85
72.81,0.02,142.27
72.13,-0.02,142.6
72.38,0.01,143.1
71.88,-0.0,143.5
71.63,0.0,143.93
71.5,0.0,144.34
71.38,0.0,144.75
71.31,-0.0,145.1
71.31,-0.0,145.5
71.31,-0.0,145.9
71.31,-0.0,146.4
71.31,-0.0,146.8
71.31,-0.0,147.2
71.31,-0.0,147.6
71.31,-0.0,148.0
71.31,-0.0,148.4
71.31,-0.0,148.9
71.31,-0.0,149.3
71.31,-0.0,149.7
71.31,-0.0,150.1
71.31,-0.0,150.5
71.31,-0.0,150.9
71.31,-0.0,151.3
71.31,-0.0,151.8
71.31,-0.0,152.2
71.31,-0.0,152.6
71.31,-0.0,153.0
71.31,-0.0,153.4
71.31,-0.0,153.8
