theta,v,t
9.5,0.01,32.44
7.25,-0.04,32.85
11.19,-0.08,33.26
19.0,-0.15,33.68
33.63,-0.05,34.09
36.13,-0.06,34.5
40.63,-0.0,34.92
40.63,-0.01,35.33
43.5,-0.13,35.75
46.69,0.19,36.16
38.94,0.18,36.58
17.88,0.36,36.99
345.19,0.52,37.4
300.81,0.57,37.82
255.88,0.5,38.23
216.63,0.36,38.65
187.69,0.38,39.06
155.94,0.51,39.48
113.25,0.62,39.89
61.94,0.62,40.3
9.75,0.63,40.72
317.0,0.76,41.13
251.88,0.92,41.55
170.0,1.09,41.96
80.44,1.11,42.38
346.31,1.2,42.79
247.13,1.34,43.21
136.38,1.54,43.62
15.94,1.33,44.04
270.88,1.21,44.45
170.56,1.38,44.86
62.44,1.32,45.28
318.0,1.2,45.69
220.81,1.27,46.1
121.63,1.23,46.52
20.5,1.26,46.93
276.75,1.17,47.35
181.38,1.23,47.76
79.38,1.28,48.18
335.5,1.24,48.59
235.63,1.21,49.01
137.81,1.32,49.42
31.81,1.31,49.83
286.75,1.25,50.25
184.75,1.14,50.66
91.38,1.21,51.08
351.19,1.3,51.49
242.94,1.27,51.91
139.88,1.32,52.32
28.88,1.35,52.74
282.38,1.25,53.15
182.31,1.23,53.56
76.56,1.31,53.98
331.38,1.28,54.39
227.44,1.33,54.8
120.44,1.32,55.22
16.44,1.16,55.63
283.44,1.17,56.04
188.25,1.31,56.46
83.69,1.2,56.87
348.75,1.07,57.29
257.38,1.14,57.7
167.5,1.15,58.12
71.88,1.33,58.53
317.88,1.51,58.94
196.94,1.49,59.36
75.31,1.56,59.77
