theta,v,t
148.38,-0.01,228.0
147.88,0.02,228.5
150.25,0.06,228.9
theta,v,t
162.63,-0.18,323.0
145.25,-0.29,323.0
122.56,-0.27,324.0
100.75,-0.32,324.0
74.69,-0.39,324.9
41.63,-0.45,325.3
2.75,-0.55,325.75
315.88,-0.62,326.0
263.38,-0.77,326.0
199.0,-0.85,326.0
126.5,-0.99,327.0
48.69,-0.91,327.8
339.31,-0.76,328.0
278.5,-0.83,328.0
206.56,-1.06,329.0
121.06,-1.1,329.0
32.94,-1.06,329.8
312.31,-0.87,330.0
241.94,-0.91,330.0
166.94,-1.03,331.0
84.63,-0.92,331.5
13.88,-0.77,331.9
314.44,-0.72,332.0
256.31,-0.85,332.0
187.63,-0.85,333.0
119.25,-0.8,333.0
57.06,-0.65,334.0
11.25,-0.48,334.4
344.13,-0.01,334.0
348.5,-0.02,335.0
351.88,0.1,335.6
355.88,-0.05,336.0
348.31,-0.22,336.0
327.0,-0.36,336.0
295.06,-0.42,337.0
263.56,-0.25,337.0
247.75,-0.07,338.0
242.94,-0.05,338.0
240.63,-0.02,339.0
238.5,-0.03,339.0
237.44,0.0,339.8
237.75,0.0,340.2
237.88,0.0,340.6
237.88,-0.03,341.0
232.75,-0.16,341.0
217.38,-0.25,341.0
196.81,-0.27,342.0
176.69,-0.25,342.0
155.38,-0.29,343.0
131.31,-0.38,343.0
99.63,-0.42,343.9
64.06,-0.49,344.4
22.25,-0.56,344.8
335.19,-0.62,345.0
284.69,-0.56,345.0
247.56,-0.19,346.0
234.13,-0.07,346.0
236.06,0.12,346.8
244.56,-0.0,347.0
243.38,-0.02,347.0
241.63,-0.09,348.0
229.25,-0.32,348.0
197.38,-0.62,348.0
144.0,-0.72,349.0
82.06,-0.98,349.7
354.13,-1.26,350.0
261.38,-0.9,350.0
192.13,-0.76,351.0
132.31,-0.4,351.0
108.31,-0.19,351.0
97.94,-0.01,352.2
97.38,0.01,352.68
101.25,0.22,353.1
123.44,0.43,353.5
160.69,0.52,353.9
205.25,0.58,354.3
248.63,0.37,354.7
276.13,0.12,355.1
281.31,-0.01,355.0
279.75,-0.02,355.0
278.5,-0.02,356.0
278.31,-0.01,356.0
277.19,0.0,357.2
277.56,0.0,357.6
277.5,0.0,358.0
277.69,0.07,358.4
291.38,0.63,358.9
352.63,0.89,359.3
61.5,0.76,359.73
122.56,0.68,360.1
179.69,0.76,360.5
239.75,0.55,360.9
275.44,0.12,361.3
278.94,-0.1,361.0
270.5,-0.03,362.0
268.69,-0.02,362.0
267.63,-0.01,363.0
267.31,-0.0,363.0
266.94,0.0,363.8
266.81,0.0,364.2
266.75,0.0,364.7
266.75,0.0,365.1
266.75,0.0,365.5
266.75,0.0,365.9
266.75,-0.0,366.0
266.13,-0.02,366.0
264.75,-0.01,367.0
264.88,0.03,367.6
267.13,0.03,368.0
269.69,-0.0,368.0
269.19,0.0,368.8
