theta,v,t
359.81,0.0,14.14
359.81,0.0,14.56
359.81,0.0,14.97
359.81,0.0,15.38
359.56,-0.02,15.8
358.81,0.0,16.21
358.81,0.0,16.63
358.81,0.0,17.04
358.81,0.0,17.45
358.81,0.0,17.87
358.81,0.0,18.28
358.81,0.0,18.7
358.81,0.0,19.11
358.81,0.0,19.53
358.81,0.0,19.94
358.81,0.0,20.35
358.81,0.0,20.77
358.81,0.0,21.18
358.81,0.0,21.6
2.31,0.0,22.01
2.31,0.0,22.43
2.31,0.0,22.84
2.31,0.0,23.26
2.31,0.0,23.67
2.31,0.0,24.08
2.31,0.0,24.5
2.31,0.17,24.91
19.81,0.57,25.33
50.13,0.0,25.74
50.13,0.0,26.16
50.13,0.0,26.57
50.13,0.0,26.98
50.13,-0.18,27.4
40.0,-0.2,27.82
28.63,0.0,28.23
28.63,0.0,28.64
23.69,-0.24,29.06
14.06,0.0,29.47
14.06,0.0,29.89
14.06,0.0,30.3
14.06,0.0,30.72
14.06,0.24,31.13
51.94,0.82,31.54
100.13,0.0,31.96
100.13,0.0,32.37
100.13,0.0,32.79
100.13,0.0,33.2
99.56,-0.03,33.62
94.94,-0.22,34.03
86.38,0.0,34.45
86.38,0.0,34.86
86.38,-0.11,35.28
78.38,-0.12,35.69
73.44,0.05,36.1
77.31,-0.0,36.52
77.19,0.0,36.93
77.19,0.0,37.35
75.44,0.0,37.76
75.44,-0.08,38.18
72.31,0.0,38.59
72.31,-0.01,39.0
